web-scraper-order,web-scraper-start-url,rank,Youtuber,subscribers,video views,video count,category,started
"1699959846-74","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","74","DISCOS LAGS Promoción De Artistas.","1,270,000","852,989,834","3,195","Music","2013"
"1699959846-75","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","75","ARELYS HENAO ""LA REINA DE LA MUSICA POPULAR""","1,460,000","849,070,122","115","Music","2012"
"1699959846-76","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","76","Mol ASMR.","3,240,000","844,120,928","1,145","Howto & Style","2014"
"1699959846-77","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","77","8D TUNES","7,160,000","840,523,354","1,088","Music","2015"
"1699959846-78","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","78","Familia Recocha","2,570,000","824,749,317","314","Comedy","2015"
"1699959846-79","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","79","Amazing Changes","2,320,000","807,691,340","1,679","Entertainment","2014"
"1699959846-80","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","80","Futbol y Curvas","1,990,000","804,592,536","233","Sports","2014"
"1699959846-81","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","81","Paola Jara","1,370,000","776,698,240","102","Music","2014"
"1699959846-82","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","82","David Sin Fama","3,660,000","770,520,707","2,423","","2012"
"1699959846-83","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","83","Mr Black El Presidente","1,370,000","764,086,640","322","Music","2011"
"1699959846-84","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","84","Sofia Castro","8,960,000","761,553,576","225","Entertainment","2014"
"1699959846-85","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","85","Santiago Cruz Video","993,000","756,684,611","273","Music","2009"
"1699959846-86","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","86","AleBanana","2,150,000","754,165,836","706","Entertainment","2016"
"1699959846-87","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","87","El Lugar de Su Presencia","2,490,000","728,101,487","3,539","Music","2007"
"1699959846-88","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","88","julioprofe","4,930,000","722,317,847","1,540","Education","2009"
"1699959846-89","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","89","Jorge Celedón","908,000","711,656,809","69","Music","2016"
"1699959846-90","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","90","Mr.X","1,250,130","709,355,661","734","People & Blogs","2015"
"1699959846-91","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","91","Jondres Gc","2,010,000","706,211,793","325","Gaming","2020"
